"","caseid","child_id","age_child","mother_id","first_born","sex_child","child_residence","child_alive","marital_status","union_status","num_union_status","age_cohabitation","first_sex","edu_level_mother","num_trips","owner_house","wealth_index","type_residence","traveled_12","partners_education","currently_working","literacy","current_age_respondent","type_dejure_residence","age_first_sex","worked_12_temp","worked_12","child_foster"
"1","074980  2","01",15,"0749802",0,1,0,1,2,1,1,18,18,2,0,2,5,1,0,2,0,2,44,1,18,1,0,0
"2","074976  1","01",11,"0749761",0,2,0,1,2,1,1,23,25,1,2,0,2,1,0,1,1,2,42,1,25,2,1,0
"3","074938  2","01",3,"0749382",0,1,0,1,2,1,2,21,97,3,0,3,4,1,0,1,1,2,36,1,NA,2,1,0
"4","074963  1","01",3,"0749631",1,2,0,1,2,1,2,20,20,2,3,0,3,1,0,2,0,2,26,1,20,1,0,0
"5","0749 8  1","01",4,"074981",0,1,0,1,5,2,2,12,12,2,0,1,2,1,0,3,1,2,24,1,12,2,1,0
"6","074960  2","01",8,"0749602",0,2,0,1,2,1,2,16,14,1,0,1,2,1,0,8,0,2,48,1,14,1,0,0
"7","074960  3","01",1,"0749603",1,1,0,1,5,2,1,17,16,3,0,0,2,1,0,3,1,2,22,1,16,2,1,0
"8","074960  4","01",1,"0749604",1,2,0,1,5,2,1,18,17,1,0,0,2,1,0,2,0,2,20,1,17,1,0,0
"9","158896  1","01",1,"1588961",0,2,0,1,2,1,1,17,17,1,0,2,2,1,0,1,1,2,37,1,17,2,1,0
"10","158845  1","01",7,"1588451",0,1,0,1,2,1,2,21,19,1,0,3,3,1,0,1,0,2,44,1,19,1,0,0
"11","158847  2","01",1,"1588472",0,2,0,1,1,1,1,19,14,1,0,0,1,1,0,2,1,0,35,1,14,2,1,0
"12","158816  2","01",5,"1588162",0,2,0,1,1,1,2,17,14,2,1,0,4,1,0,2,0,2,34,1,14,0,0,0
"13","158878  1","01",1,"1588781",0,1,0,1,5,2,1,10,11,2,0,0,1,1,0,2,0,2,23,1,11,1,0,0
"14","158884  2","01",2,"1588842",0,1,4,1,5,2,NA,19,15,1,0,2,2,1,0,1,0,2,33,1,15,0,0,1
"15","158833  1","01",11,"1588331",0,1,0,1,3,2,1,19,16,1,0,1,1,1,0,0,0,2,43,1,16,0,0,0
"16","1588 6  2","01",1,"158862",0,1,0,1,2,1,2,16,16,1,0,0,1,1,0,2,1,2,23,1,16,2,1,0
"17","1588 9  2","01",1,"158892",0,2,0,1,2,1,1,22,20,3,3,0,5,1,0,1,0,2,30,1,20,1,0,0
"18","158877  2","01",9,"1588772",1,2,4,1,1,1,2,22,23,3,2,0,3,1,0,1,1,2,33,1,23,2,1,1
"19","158886  2","01",0,"1588862",0,2,4,1,2,1,2,15,15,1,2,0,1,1,0,2,0,1,20,1,15,0,0,1
"20","158859  2","01",2,"1588592",0,1,0,1,2,1,1,17,17,1,1,0,1,1,0,2,1,2,32,1,17,2,1,0
"21","158842  2","01",5,"1588422",0,1,0,1,2,1,1,19,19,2,0,0,2,1,0,2,0,2,28,1,19,0,0,0
"22","158835  2","01",7,"1588352",0,1,0,1,2,1,1,26,26,3,1,0,4,1,0,1,1,2,37,1,26,2,1,0
"23","028827  2","01",0,"0288272",0,1,0,1,1,1,2,19,16,3,0,0,5,1,0,3,1,2,34,1,16,2,1,0
"24","028812  1","01",15,"0288121",1,1,0,1,5,2,1,27,25,3,0,1,4,1,0,1,1,2,46,1,25,2,1,0
"25","028830  1","01",10,"0288301",0,1,0,1,5,2,2,27,27,2,0,1,3,1,0,2,1,2,46,1,27,2,1,0
"26","028849  3","01",10,"0288493",0,1,0,1,1,1,2,14,14,2,0,0,4,1,0,2,1,2,43,1,14,3,1,0
"27","026163  2","01",6,"0261632",1,2,0,1,2,1,1,26,21,3,1,2,5,1,0,3,1,2,34,1,21,2,1,0
"28","026115  2","01",8,"0261152",0,1,0,1,2,1,1,17,17,2,1,0,4,1,0,1,0,2,31,1,17,1,0,0
"29","0261 1  2","01",0,"026112",0,1,0,1,2,1,2,15,15,1,1,0,3,1,0,1,1,0,32,1,15,2,1,0
"30","0261 9  2","01",3,"026192",0,2,0,1,2,1,2,26,22,2,2,1,3,1,1,0,1,2,37,1,22,2,1,0
"31","026170  4","01",2,"0261704",0,2,0,1,1,1,2,21,19,3,0,0,5,1,0,2,1,2,34,1,19,2,1,0
"32","026145  2","01",6,"0261452",0,1,0,1,2,1,1,16,17,2,0,0,3,1,0,1,1,2,39,1,17,2,1,0
"33","026189  3","01",14,"0261893",0,2,0,1,5,2,1,16,16,2,0,0,4,1,0,0,1,2,37,1,16,2,1,0
"34","026151  2","01",3,"0261512",0,2,0,1,1,1,1,30,18,3,5,0,5,1,0,3,0,2,36,1,18,0,0,0
"35","026172  1","01",2,"0261721",0,2,0,1,0,0,NA,NA,19,2,3,0,4,1,0,NA,1,2,43,1,19,2,1,0
"36","288534  1","01",15,"2885341",1,1,0,1,5,2,1,22,20,3,3,0,5,1,1,3,1,2,38,1,20,2,1,0
"37","288516  2","01",2,"2885162",1,2,0,1,1,1,1,23,17,3,10,0,5,1,1,3,1,2,33,1,17,2,1,0
"38","288594  2","01",8,"2885942",0,2,0,1,1,1,1,27,19,3,20,2,5,1,0,3,1,2,41,1,19,2,1,0
"39","027534  2","01",13,"0275342",0,2,0,1,1,1,1,26,27,3,4,3,5,1,0,3,1,2,46,1,27,2,1,0
"40","027561  2","01",1,"0275612",0,1,0,1,2,1,2,19,19,2,4,0,5,1,0,1,0,2,31,1,19,0,0,0
"41","027579  2","01",5,"0275792",1,2,0,1,1,1,1,23,18,3,0,2,5,1,0,3,1,2,33,1,18,2,1,0
"42","181189  6","01",11,"1811896",0,2,4,1,5,2,2,13,12,1,0,1,5,1,0,1,1,0,40,1,12,2,1,1
"43","181157  3","01",11,"1811573",0,1,4,1,5,2,1,16,16,2,1,0,5,1,0,1,1,2,30,1,16,2,1,1
"44","1811 6  1","01",5,"181161",0,2,4,1,3,2,1,18,18,3,0,0,5,1,1,3,0,2,41,7,18,0,0,1
"45","226884  1","01",14,"2268841",1,2,0,1,5,2,1,19,19,2,1,0,5,1,0,2,0,2,47,1,19,0,0,0
"46","306714  1","01",3,"3067141",0,1,0,1,5,2,1,17,16,3,5,0,5,1,0,3,1,2,27,1,16,2,1,0
"47","306729  2","01",6,"3067292",1,1,0,1,5,2,1,31,28,3,2,1,5,1,0,2,1,2,41,7,28,2,1,0
"48","306757  1","01",3,"3067571",0,1,0,1,5,2,1,23,23,3,5,0,5,1,1,3,1,2,37,1,23,2,1,0
"49","306777  1","01",12,"3067771",0,2,0,1,1,1,1,30,26,3,1,0,4,1,0,3,0,2,49,1,26,0,0,0
"50","306790  2","01",11,"3067902",0,2,0,1,1,1,2,20,18,2,1,0,5,1,0,3,1,2,47,1,18,2,1,0
"51","094691  1","01",13,"0946911",1,2,0,1,5,2,1,33,31,3,0,0,4,1,0,3,0,2,47,1,31,0,0,0
"52","094662  2","01",5,"0946622",0,1,0,1,1,1,1,21,20,3,2,2,5,1,0,3,1,2,36,1,20,2,1,0
"53","0946 8  2","01",0,"094682",0,1,0,1,2,1,1,19,17,3,0,2,4,1,0,3,1,2,29,1,17,3,1,0
"54","094677  2","01",1,"0946772",0,2,0,1,1,1,1,32,17,3,3,0,5,1,0,3,1,2,35,1,17,2,1,0
"55","1328 7  2","01",7,"132872",0,1,0,1,1,1,1,30,28,3,6,0,5,1,0,3,1,2,42,1,28,2,1,0
"56","132828  1","01",10,"1328281",1,2,0,1,4,2,1,25,18,3,1,2,5,1,0,2,1,2,36,1,18,2,1,0
"57","132875  1","01",9,"1328751",0,1,0,1,4,2,2,29,28,3,0,1,5,1,1,3,1,2,42,1,28,2,1,0
"58","132889  2","01",6,"1328892",0,1,0,1,2,1,1,20,18,3,0,0,5,1,0,2,1,2,29,1,18,2,1,0
"59","132891  2","01",0,"1328912",1,2,0,1,1,1,1,32,25,3,5,0,4,1,0,3,1,2,33,1,25,2,1,0
"60","234298  4","01",0,"2342984",1,2,0,1,1,1,1,20,20,3,0,0,4,1,0,3,1,2,21,1,20,2,1,0
"61","234267  1","01",16,"2342671",1,1,0,1,1,1,2,27,20,2,3,0,4,1,0,3,1,2,49,1,20,2,1,0
"62","234275  2","01",0,"2342752",0,2,0,1,1,1,1,19,17,3,0,3,5,1,0,2,0,2,25,1,17,0,0,0
"63","234261  2","01",5,"2342612",0,1,0,1,2,1,1,14,13,3,0,2,5,1,0,2,0,2,25,1,13,1,0,0
"64","234229  2","01",3,"2342292",0,2,0,1,5,2,2,25,21,3,24,0,5,1,0,3,1,2,30,1,21,2,1,0
"65","234288  2","01",5,"2342882",1,1,0,1,1,1,1,29,20,3,0,0,5,1,0,3,1,2,36,1,20,2,1,0
